soc_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v1001,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88
Ai3,1,2,1,0,6,1,2,5,5,10,2,1,10,2,6,3,9,4,4,1,1,9,9,8,7,15,9,2,3,6,5,3,3,3,3,8,5,5,2,1,1,1,6,1,1,1,9,6,1,1,5,1,5,9,5,3,9,10,9,9,9,9,9,9,10,9,4,9,1,9,2,2,1,2,6,4,6,4,4,2,2,9,4,8,0,0,0,0,0
Ai32,1,0,0,4,5,1,2,8,5,8,2,1,8,9,11,6,1,4,4,1,1,9,9,7,8,15,9,0,3,6,6,0,3,2,2,0,0,1,2,1,7,2,6,1,1,0,0,6,0,1,0,0,0,1,4,3,0,0,9,0,9,0,0,0,9,9,1,9,1,9,2,2,1,1,0,0,0,0,0,2,2,2,4,8,0,0,0,0,0
Ai33,0,1,2,3,4,1,2,8,5,8,2,1,8,9,11,6,2,4,3,1,1,9,9,0,0,0,0,0,3,6,5,0,3,2,2,0,0,1,2,1,7,2,6,1,1,0,0,0,1,1,0,0,0,1,2,3,0,0,0,9,9,0,0,0,9,9,1,9,1,9,0,0,1,1,7,1,7,1,6,2,2,2,4,8,0,0,0,0,0
Ai35,2,1,1,1,5,1,2,5,5,8,2,1,8,9,11,6,1,4,4,1,1,9,9,8,7,15,9,0,3,6,5,0,2,2,2,0,0,1,2,1,3,1,6,1,1,0,0,6,0,1,4,1,1,0,5,3,0,0,9,0,9,9,9,9,0,9,1,9,1,9,1,1,5,5,0,0,0,0,2,2,2,7,4,8,0,0,0,0,0
Ai41,0,1,0,3,6,1,2,5,5,9,1,1,8,2,6,2,9,4,3,1,1,9,9,7,8,15,9,2,5,6,6,0,3,2,0,0,0,1,2,1,7,2,7,1,9,9,0,6,9,0,0,1,0,2,4,10,10,0,9,10,0,0,9,0,9,9,1,9,1,9,3,3,0,0,7,1,7,1,0,2,2,9,4,8,0,0,0,0,0
Ai43,0,1,0,3,6,1,2,5,5,8,2,1,8,9,11,3,9,5,5,1,1,9,9,8,7,15,9,2,5,6,6,0,3,1,0,0,0,7,2,1,7,2,7,1,9,9,0,6,9,0,6,1,9,2,5,10,10,0,9,10,0,9,9,10,9,9,1,9,1,9,4,3,0,0,7,4,7,4,0,2,2,3,4,8,0,0,0,0,0
Ai6,1,1,1,2,5,1,2,5,5,8,2,1,8,9,11,2,9,4,4,1,1,9,9,7,8,15,9,2,3,6,6,5,3,2,2,0,5,1,2,1,7,2,6,1,1,9,8,6,1,3,6,1,0,1,4,3,10,9,9,9,9,9,9,0,9,9,5,4,1,9,4,2,6,5,7,4,7,4,3,2,0,9,4,8,0,0,0,0,0
Ai8,1,1,0,3,5,1,2,5,5,9,1,1,8,2,6,2,9,5,5,1,1,9,9,1,3,15,9,2,5,6,6,0,3,2,0,0,0,6,2,1,7,2,7,1,9,9,0,6,9,0,5,1,9,2,4,10,10,0,9,10,0,9,9,10,9,9,1,9,1,9,4,2,0,0,7,3,7,1,0,2,2,9,4,8,0,0,0,0,0
Aj15,0,1,0,3,6,1,2,5,5,8,2,1,8,9,11,6,1,4,4,1,1,9,9,8,7,15,9,0,5,6,5,0,3,2,2,0,0,1,2,1,7,2,7,1,1,1,0,6,0,1,0,1,1,1,3,3,9,0,9,0,9,0,9,9,9,9,3,9,2,9,2,3,1,1,7,4,7,4,0,2,2,7,2,8,0,0,0,0,0
Aj19,0,2,0,4,4,1,2,5,5,8,2,1,8,2,6,3,9,4,4,1,1,9,9,0,0,0,0,0,3,6,2,0,3,3,0,0,0,5,0,1,7,2,8,1,1,0,0,0,0,0,0,1,9,1,5,3,0,0,0,0,0,0,9,10,9,9,1,9,0,0,3,3,1,1,7,4,7,4,6,2,2,0,4,8,0,0,0,0,0
Aj8,0,1,0,4,5,1,2,5,5,9,1,1,8,2,6,6,1,4,4,1,1,9,9,7,8,15,9,6,3,4,5,0,2,1,2,0,0,1,2,1,7,2,6,1,1,9,0,8,0,0,9,1,1,2,3,3,10,0,9,0,0,10,3,3,9,9,2,9,2,3,1,1,1,1,7,1,7,1,3,2,2,2,4,8,0,0,0,0,0
Ca32,1,0,0,2,7,1,2,5,5,9,1,2,6,3,9,0,0,1,1,4,4,9,9,7,8,15,9,0,3,6,7,0,2,1,0,0,0,3,2,3,7,2,6,3,9,9,8,6,0,0,0,0,0,1,4,10,10,9,9,0,0,0,0,0,9,9,1,9,1,9,2,3,9,9,2,4,2,4,6,2,2,11,3,8,0,0,0,0,0
Ca33,1,1,0,2,6,1,2,2,2,9,1,2,6,9,11,0,0,1,1,4,4,9,9,7,8,15,9,0,3,6,7,0,2,1,0,0,0,4,2,3,7,2,6,3,9,9,8,6,0,0,0,0,0,2,4,10,10,9,9,0,0,0,0,0,9,9,1,9,1,9,2,3,9,9,2,4,2,4,6,2,2,11,3,8,2,2,8,4,8
Cj3,0,2,1,3,4,1,2,7,2,8,2,1,8,9,11,3,9,5,1,1,1,9,9,10,1,7,4,3,5,6,7,7,3,3,4,0,3,2,1,3,7,2,7,1,1,5,1,1,1,1,9,1,1,2,1,3,9,3,3,3,3,10,3,9,9,9,4,9,1,9,4,3,3,5,7,4,7,4,2,5,2,1,7,2,0,0,0,0,0
Ea6,0,1,0,8,1,1,2,2,2,8,2,1,8,2,6,1,9,5,1,1,1,9,9,10,1,7,4,0,2,6,1,5,2,2,4,8,0,3,1,1,3,2,4,1,1,6,8,9,9,4,6,1,9,2,0,3,9,9,10,10,9,9,9,10,9,0,2,9,2,9,1,1,1,1,1,9,7,1,2,5,2,6,7,6,5,2,6,8,6
Ee1,0,2,2,2,4,1,2,2,2,10,2,1,10,2,6,3,9,6,4,1,1,9,9,6,4,15,9,0,3,6,7,3,3,1,1,2,0,1,5,1,7,1,6,1,1,6,9,8,9,1,5,1,4,2,2,3,9,10,9,10,9,9,9,9,9,9,2,9,1,9,4,3,9,9,7,3,7,1,6,5,4,3,8,8,0,0,0,0,0
Ag53,1,1,0,1,7,1,2,4,4,8,2,1,8,9,11,6,2,4,4,1,1,9,9,8,7,15,9,4,3,6,7,5,3,2,2,0,0,6,2,1,7,2,6,1,1,8,0,5,0,1,6,1,0,0,3,3,9,0,9,0,9,9,9,0,0,9,0,0,1,9,4,2,1,1,7,4,7,4,0,2,2,9,4,8,0,0,0,0,0
Ad27,0,1,1,1,7,1,2,5,5,5,2,3,5,9,11,2,9,1,1,4,3,9,9,1,3,15,9,5,3,6,6,0,3,1,0,0,0,5,0,1,3,1,6,3,1,9,0,8,8,0,0,0,0,0,5,3,10,0,9,9,0,0,0,0,0,9,1,9,1,9,3,3,3,5,2,1,2,1,0,2,2,0,4,8,5,2,0,8,8
Ad50,0,1,1,2,6,1,2,2,2,5,2,3,5,2,4,2,9,1,1,4,4,9,9,12,5,15,9,5,3,6,7,0,3,2,2,0,0,6,0,1,7,2,6,3,1,9,0,8,0,0,0,1,0,1,4,3,10,0,9,0,0,0,9,0,9,9,1,9,1,9,3,2,2,3,0,0,2,1,0,5,2,0,7,9,2,2,2,4,8
Ab3,1,2,1,2,4,3,2,5,5,9,1,1,10,3,1,3,9,1,1,1,1,4,2,7,8,15,9,4,5,6,3,2,2,4,2,0,0,1,0,1,7,2,7,5,1,9,1,6,1,3,5,1,2,1,5,3,10,9,9,9,9,9,9,9,9,9,4,9,1,9,4,3,1,1,7,2,7,2,0,2,2,2,4,8,5,2,0,8,8
Na1,2,6,2,0,0,3,2,1,1,9,1,3,11,1,10,3,9,1,1,5,5,9,9,1,3,1,1,5,1,1,2,1,2,1,1,5,0,1,0,1,1,1,3,3,9,9,6,9,1,3,2,1,1,9,9,10,10,9,10,9,9,9,9,9,10,10,1,9,1,9,1,1,7,5,1,9,1,9,1,2,2,11,2,5,5,2,4,7,4
Nd66,6,4,0,0,0,3,2,2,2,9,1,2,2,2,6,3,9,1,1,1,1,1,9,7,8,15,9,5,2,6,2,0,2,1,1,5,3,1,1,1,1,1,1,6,9,9,1,6,9,6,5,1,9,9,4,10,10,9,9,10,9,9,9,10,10,9,1,9,1,9,1,1,5,5,1,9,1,9,0,2,2,11,2,8,0,0,0,0,0
Sa9,3,2,2,1,2,3,2,8,2,9,2,3,9,2,6,3,9,1,1,1,1,1,9,1,3,1,1,5,3,5,7,3,3,2,4,2,2,1,1,1,7,2,1,6,9,6,8,6,1,4,4,1,2,0,6,10,9,9,9,9,9,9,9,9,0,9,1,9,1,9,1,1,0,0,0,0,0,0,1,5,4,7,8,8,5,2,3,8,8
Sf4,1,1,2,0,6,3,2,4,6,9,1,1,12,3,9,1,9,1,1,1,1,1,9,8,7,15,9,4,3,6,7,3,2,1,2,0,0,1,1,1,1,1,6,6,9,6,0,6,0,0,5,1,1,9,3,10,9,0,9,0,0,9,9,9,10,9,1,9,1,9,0,0,7,5,0,0,5,1,0,5,2,3,4,8,5,2,3,8,8
Eh9,0,0,2,3,5,3,2,7,5,8,2,1,8,9,11,6,2,4,4,1,1,9,9,8,7,15,9,4,5,0,7,0,3,3,0,0,0,10,1,1,7,2,7,1,1,0,0,0,0,0,0,1,2,1,3,3,0,0,0,0,0,0,9,9,9,9,4,9,1,9,4,2,1,1,5,1,5,1,6,5,4,0,4,8,0,0,0,0,0
Ad51,0,1,1,1,7,3,2,2,2,9,1,3,1,2,2,2,9,1,1,4,4,9,9,8,7,15,9,5,3,6,7,0,3,1,2,0,4,1,1,1,3,1,6,3,1,9,0,6,0,0,0,1,1,0,2,3,10,0,9,0,0,0,9,9,0,9,1,9,1,9,3,2,2,3,0,0,0,0,0,2,2,0,4,8,5,2,0,7,9
If14,0,1,4,1,4,4,2,2,2,12,2,1,12,3,9,2,9,1,1,1,1,4,9,7,8,15,9,4,4,4,8,4,3,2,2,2,2,5,2,1,2,1,8,5,9,9,9,9,1,1,9,1,2,4,5,10,10,10,10,9,9,10,1,9,9,9,4,9,1,9,1,1,4,5,4,1,7,1,2,5,2,10,8,8,5,3,10,8,8
Nd8,2,3,5,0,0,4,2,7,2,12,2,1,12,3,9,3,9,1,1,1,1,2,9,7,8,15,9,4,1,1,2,1,3,1,0,5,2,1,1,1,1,1,2,6,9,9,5,9,2,2,5,2,2,9,9,10,10,9,10,9,9,9,9,9,10,10,2,9,1,9,2,2,1,1,7,1,7,1,6,5,1,11,8,3,2,1,11,4,3
Ec2,1,2,2,4,1,4,2,7,5,9,1,1,8,9,11,6,1,5,5,1,1,9,9,13,2,15,9,7,2,6,2,2,3,3,3,8,0,1,1,1,7,2,4,1,1,1,6,6,1,1,6,1,1,2,6,3,3,9,9,9,9,9,9,9,9,9,2,9,1,9,3,2,6,5,6,4,7,1,6,5,1,11,9,9,2,2,11,4,4
Sd9,1,0,0,0,9,5,2,8,3,10,2,1,10,2,6,2,9,1,1,1,1,1,9,1,3,1,1,5,3,4,4,2,3,1,1,0,0,1,1,1,1,1,6,6,9,9,9,8,1,2,6,1,3,9,2,10,10,10,9,9,9,9,9,9,10,9,1,9,1,9,1,1,7,5,1,9,0,0,3,2,2,8,4,8,0,0,0,0,0
Sb4,0,1,1,0,8,6,2,7,2,11,2,3,11,1,10,3,9,1,1,1,1,1,9,10,1,8,1,5,3,5,5,5,2,1,1,0,3,1,1,1,1,1,6,6,9,9,9,6,9,2,5,1,2,9,3,10,10,10,10,9,9,9,9,10,9,9,1,9,1,9,1,1,6,5,1,9,5,1,4,5,2,2,8,8,0,0,0,0,0
Af5,1,0,1,1,7,1,3,7,5,8,2,1,8,3,3,2,9,3,3,1,1,9,9,6,4,5,2,4,3,6,8,5,4,2,2,8,6,6,5,1,3,1,6,1,1,1,8,6,8,1,2,1,5,0,3,3,9,9,9,9,9,9,9,9,0,9,4,9,1,9,4,2,1,2,6,1,6,1,0,2,2,2,4,8,5,2,2,8,8
Ac10,1,2,1,1,5,2,3,5,5,9,1,3,1,3,9,2,9,1,1,4,4,9,9,1,3,1,1,5,3,6,7,3,3,3,1,0,3,1,2,1,7,2,6,3,1,9,8,6,8,0,6,1,1,2,5,3,10,9,9,9,0,9,9,9,9,9,1,9,1,9,3,2,2,4,3,0,3,0,1,2,2,8,4,8,0,0,0,0,0
Ac3,1,1,1,0,7,2,3,4,4,9,1,3,3,1,10,3,9,1,1,4,4,2,9,1,3,1,1,5,3,6,4,3,3,3,3,0,3,1,3,1,3,1,6,7,1,9,8,6,8,3,5,1,2,0,5,3,10,9,9,9,9,9,9,9,0,9,4,9,1,9,2,2,2,4,3,4,3,2,1,2,2,2,4,8,0,0,0,0,0
Ac34,0,1,3,1,5,2,3,2,2,9,1,3,1,2,6,3,9,1,1,4,3,9,9,1,3,1,1,5,3,5,7,5,3,3,3,0,0,6,0,1,3,1,6,3,1,9,1,6,1,0,0,1,1,0,5,3,10,9,9,9,0,0,9,9,0,9,4,9,1,9,3,2,2,4,3,2,3,2,0,2,2,7,4,8,0,0,0,0,0
Ac5,0,2,2,0,6,2,3,2,2,9,1,3,3,3,9,3,9,1,1,4,4,9,9,1,3,2,2,5,3,6,7,0,2,3,2,6,2,1,0,1,1,1,6,3,1,0,0,6,1,0,9,1,2,9,4,3,0,0,9,9,0,10,9,9,10,9,1,9,1,9,3,3,2,3,0,0,3,4,0,2,2,2,4,8,0,0,0,0,0
Ia7,0,1,1,1,7,2,3,2,2,11,2,3,11,1,10,1,9,1,1,1,1,2,9,7,8,15,9,3,3,6,7,0,2,1,0,0,0,1,1,1,7,1,6,6,1,0,0,0,0,0,0,1,2,0,4,3,0,0,0,0,0,0,9,9,0,9,4,9,1,9,2,2,9,9,5,1,5,1,0,5,0,0,0,0,0,0,0,0,0
Ib8,3,3,2,0,2,2,3,2,2,9,1,2,2,9,11,0,0,1,1,1,1,1,9,7,8,15,9,0,4,5,1,0,2,1,0,0,0,1,1,1,1,1,8,6,9,9,0,9,9,0,0,1,0,9,0,10,10,0,10,10,0,0,9,0,10,0,1,9,1,9,1,1,0,0,0,0,5,1,6,5,3,3,7,8,0,0,0,0,0
Na13,0,2,8,0,0,2,3,6,3,9,1,2,6,9,11,3,9,1,1,1,1,1,9,0,0,0,0,0,1,1,2,1,2,1,3,5,3,1,1,1,1,1,2,6,9,9,6,2,1,1,0,1,1,9,9,10,10,9,9,9,9,0,9,9,10,10,1,9,1,9,1,1,7,5,1,9,7,4,0,2,2,11,2,10,3,1,11,2,5
Sa6,0,1,2,0,7,2,3,1,1,9,1,1,10,2,6,3,9,3,3,1,1,9,9,3,3,15,9,4,3,6,8,7,3,2,0,5,0,1,5,1,1,1,6,1,8,6,0,8,8,0,9,1,1,9,1,9,9,0,9,9,0,10,9,9,10,9,5,9,1,9,4,3,0,0,6,1,6,1,0,5,2,0,8,8,0,0,0,0,0
Sd6,3,4,3,0,0,2,3,8,2,9,2,3,9,9,11,1,9,1,1,1,1,1,9,1,3,15,9,5,1,1,2,2,3,1,0,0,0,1,1,1,1,1,3,6,9,0,9,6,1,1,6,1,1,9,9,10,0,10,9,9,9,9,9,9,10,10,1,9,1,9,1,1,7,5,0,0,0,0,0,5,2,11,6,8,0,0,0,0,0
Sg1,1,2,7,0,0,2,3,2,2,10,2,1,10,9,11,4,9,1,1,1,1,1,9,7,8,15,9,3,1,1,1,1,2,1,4,2,3,1,0,1,1,1,2,6,9,9,6,9,1,3,6,1,3,9,9,10,10,9,10,9,9,9,9,9,10,10,1,9,1,9,1,1,9,9,1,9,1,9,3,2,1,11,2,8,2,1,11,4,8
Af24,1,1,0,1,7,2,3,6,6,8,2,1,8,9,11,2,9,4,4,1,1,9,9,8,7,15,9,4,3,5,7,8,4,4,2,0,0,3,0,1,3,1,6,1,1,1,1,8,0,1,6,1,0,0,3,3,3,3,9,0,9,9,9,0,0,9,4,9,1,9,4,3,1,1,7,4,7,4,0,6,2,9,8,8,0,0,0,0,0
Af28,1,1,0,2,6,2,3,8,5,8,2,1,8,9,11,2,9,3,3,1,1,9,9,12,5,15,9,6,5,6,7,0,3,2,3,0,4,1,0,1,3,1,7,1,1,1,1,6,8,0,0,1,0,0,2,3,9,3,9,9,0,0,9,0,0,9,0,0,0,0,3,2,1,1,0,0,0,0,2,2,2,9,4,8,0,0,0,0,0
Ag10,1,1,1,1,6,2,3,5,5,8,2,1,8,9,11,6,2,4,3,1,1,9,9,13,2,15,9,5,3,6,6,0,3,1,2,0,6,1,1,1,7,1,6,1,1,0,8,6,0,2,6,1,2,1,3,3,0,9,9,0,9,9,9,9,1,9,1,9,1,9,2,3,9,9,6,4,6,4,0,2,2,2,4,8,0,0,0,0,0
Ag16,0,0,2,1,7,2,3,7,6,8,2,1,8,9,11,0,0,3,3,1,1,9,9,13,2,15,9,0,3,6,5,0,3,1,0,0,0,6,2,1,2,1,6,1,0,0,0,0,0,0,1,1,6,6,2,0,0,0,0,0,0,9,9,9,9,9,1,9,1,9,1,1,1,1,7,1,7,1,6,2,2,7,4,8,0,0,0,0,0
Ag3,2,0,0,2,6,2,3,8,2,8,2,1,8,9,11,5,9,3,3,1,1,9,9,8,7,15,9,5,5,6,7,3,4,2,0,0,0,6,0,1,7,1,7,1,1,0,1,0,0,0,4,1,9,1,2,3,0,3,0,0,0,9,9,10,9,9,2,9,2,9,4,2,1,2,6,4,6,4,0,6,2,9,7,9,0,0,0,0,0
Ag30,0,1,0,2,7,2,3,8,5,8,2,1,8,9,11,2,9,3,3,1,1,9,9,0,0,0,0,0,3,6,5,4,4,1,0,0,0,6,0,1,3,1,6,1,1,8,1,6,0,0,6,1,5,0,2,3,9,3,3,0,0,9,9,9,0,9,1,9,2,9,3,3,1,2,6,4,6,4,0,5,2,9,7,9,0,0,0,0,0
Ag49,0,1,1,2,6,2,3,5,5,8,2,1,8,9,11,2,9,3,3,1,1,9,9,8,7,15,9,0,5,6,6,0,3,1,2,0,0,1,2,1,7,1,7,1,1,6,1,6,0,0,0,1,0,0,5,3,9,9,9,0,0,0,9,0,0,9,1,9,1,9,3,3,5,5,6,4,6,4,0,2,2,9,4,8,0,0,0,0,0
Ag8,2,1,0,1,6,2,3,2,2,10,1,3,1,1,10,3,9,1,1,4,3,9,9,13,2,15,9,0,3,6,7,2,3,2,2,0,5,5,5,1,7,1,6,3,1,3,0,6,9,0,6,1,9,4,3,3,9,0,9,10,0,9,9,10,1,9,1,9,2,9,1,1,2,4,3,4,3,4,6,2,2,7,4,8,0,0,0,0,0
Ah19,0,1,0,2,7,2,3,7,5,8,2,1,8,3,1,2,9,4,4,1,1,9,9,8,7,15,9,6,5,6,7,0,4,2,2,0,0,5,0,1,3,1,7,1,0,0,0,1,0,0,0,1,5,1,2,0,0,0,9,0,0,0,9,9,9,9,1,9,1,9,3,2,1,2,7,1,7,1,6,3,2,9,4,8,0,0,0,0,0
Cb6,0,1,1,1,7,2,3,8,5,9,1,1,8,3,1,2,9,3,3,1,1,9,9,1,3,15,9,5,3,6,7,0,4,2,0,0,0,5,1,1,4,1,6,1,1,0,0,0,0,0,9,1,3,0,4,3,0,0,0,0,0,10,9,9,0,9,4,9,1,9,3,3,0,0,4,1,4,1,0,2,2,9,4,8,0,0,0,0,0
Ah4,0,0,0,2,8,5,3,8,2,10,2,1,10,3,1,2,9,1,1,1,1,4,2,7,8,15,9,4,5,6,6,5,4,1,0,0,0,0,1,1,3,1,7,5,1,0,0,0,0,0,9,9,9,0,2,3,0,0,0,0,0,10,10,10,0,9,1,9,1,9,3,2,2,4,0,0,7,1,4,2,2,7,4,8,0,0,0,0,0
Ib2,0,0,0,2,8,6,3,2,2,9,1,2,6,9,11,3,9,1,1,1,1,1,9,13,2,15,9,3,6,6,8,7,3,5,1,5,3,6,1,3,7,1,7,6,1,9,9,4,9,2,9,9,9,2,3,3,10,10,9,10,9,9,10,10,9,9,5,9,1,9,1,1,6,5,5,2,5,1,2,5,2,7,8,8,0,0,0,0,0
Ic7,0,1,3,1,5,1,5,7,2,8,2,1,8,3,9,2,9,4,4,1,1,9,9,1,3,2,2,0,3,6,7,5,4,3,0,2,0,1,1,1,3,1,6,1,1,6,0,9,8,0,0,0,0,3,2,3,9,0,10,9,0,0,0,0,9,9,4,9,1,9,4,2,0,0,7,1,7,1,0,5,2,3,9,8,0,0,0,0,0
Ie15,2,1,0,1,6,1,5,2,2,8,2,1,8,9,11,2,9,4,4,1,1,9,9,8,7,15,9,5,4,5,7,0,3,1,1,0,4,1,0,1,2,1,6,1,9,9,9,6,0,1,0,1,0,6,3,10,10,10,9,0,9,0,9,0,9,9,1,9,1,9,1,1,9,9,0,0,7,4,0,5,2,11,8,8,0,0,0,0,0
Ig7,2,1,2,1,4,1,5,7,3,10,1,2,4,2,6,2,9,1,1,5,5,2,9,1,3,1,1,5,4,5,6,3,4,1,0,0,0,1,5,1,2,1,6,7,9,9,0,0,1,1,2,1,3,6,4,10,10,0,0,9,9,9,9,9,9,9,2,9,1,9,1,1,7,5,0,0,5,1,0,5,0,0,0,0,0,0,0,0,0
Nb21,1,3,6,0,0,1,5,8,6,12,2,1,12,3,9,4,9,1,1,1,1,1,9,8,7,15,9,5,1,1,7,0,3,1,0,5,0,1,1,1,1,1,2,6,9,0,6,9,8,0,0,1,0,9,9,10,0,9,10,9,0,0,9,0,10,10,2,9,1,9,3,3,5,5,1,9,6,1,0,5,1,3,8,3,5,2,8,8,8
Ai30,0,0,2,2,6,1,5,5,5,8,2,1,8,9,11,6,1,4,4,1,1,9,9,0,0,0,0,0,3,4,7,0,2,2,2,2,6,6,1,1,3,2,6,1,1,9,0,6,8,0,0,1,1,0,5,3,10,0,9,9,0,0,9,9,0,9,1,9,2,9,0,0,1,1,7,1,7,1,3,2,2,3,4,8,0,0,0,0,0
Ed3,0,0,1,2,7,1,5,8,1,8,2,1,8,9,11,6,1,4,4,1,1,9,9,1,3,15,9,5,5,6,7,0,4,0,0,0,0,1,0,3,7,1,7,1,1,8,0,8,0,0,6,9,6,2,2,3,9,0,9,0,0,9,10,9,9,9,2,9,1,9,2,2,6,5,7,3,7,3,0,5,2,9,0,3,0,0,0,0,0
Ea10,1,0,0,5,4,1,5,7,6,8,2,1,8,9,11,6,1,5,1,1,1,9,9,10,1,7,4,2,5,6,2,1,3,3,4,0,3,10,0,3,7,2,4,1,1,0,8,0,9,6,6,0,9,3,2,3,0,9,0,10,9,9,0,10,9,9,4,9,2,9,4,2,1,1,7,1,4,1,2,0,0,0,0,0,2,2,1,2,8
Ie34,5,2,2,0,1,1,5,2,2,2,2,2,2,3,1,0,0,1,1,1,1,1,9,7,8,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ig21,0,0,3,1,6,1,5,2,2,1,2,3,1,9,11,6,2,1,1,4,4,9,9,1,3,1,1,5,4,5,5,0,3,1,0,0,0,1,5,1,2,1,6,3,9,9,0,9,1,1,6,1,2,0,3,10,10,0,10,9,9,9,9,9,0,9,1,9,1,9,1,1,0,0,0,0,0,0,0,5,2,3,8,8,0,0,0,0,0
Se8,0,4,1,0,5,2,5,6,2,10,2,1,10,2,6,4,9,1,1,1,1,1,9,1,3,1,1,5,3,6,5,1,2,1,1,2,2,1,1,1,1,1,6,6,9,6,9,6,9,1,4,1,1,9,3,10,9,10,9,10,9,9,9,9,10,9,1,9,1,9,1,1,9,9,1,9,1,9,6,5,2,10,8,8,3,2,3,9,8
Ec6,1,5,4,0,0,2,5,6,2,9,1,3,11,1,10,4,9,1,1,1,1,1,9,12,5,15,9,0,1,1,2,1,3,1,0,0,2,1,1,1,1,1,3,6,9,0,0,0,0,0,0,1,1,9,9,10,0,0,0,0,0,0,9,9,10,10,1,9,1,9,2,2,4,5,1,9,7,3,0,2,2,11,4,8,5,2,3,9,3
Na5,1,7,2,0,0,6,5,7,2,2,2,2,2,9,11,3,9,1,1,1,1,1,9,1,3,1,1,5,1,1,2,1,2,1,2,0,0,1,1,1,1,1,3,6,9,9,6,9,1,6,6,1,0,9,9,10,10,9,10,9,9,9,9,0,10,10,1,9,1,9,1,1,4,5,1,9,7,1,6,2,2,11,4,5,0,0,0,0,0
Na45,1,6,3,0,0,6,5,2,2,12,2,1,12,3,9,3,9,1,1,1,1,1,9,1,3,1,1,0,1,1,2,1,2,1,0,5,0,1,1,1,1,1,3,6,9,9,6,0,1,1,6,2,4,9,9,10,10,9,0,9,9,9,9,9,10,10,1,9,1,9,1,1,4,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Ic2,2,0,0,1,7,1,7,2,2,12,2,1,12,3,9,4,9,4,1,1,1,2,9,7,8,15,9,4,3,6,8,3,3,3,2,0,4,1,1,1,2,1,6,7,1,9,0,0,0,1,5,1,9,1,5,3,10,0,0,0,9,9,9,10,9,9,2,9,1,9,2,2,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0
Nb7,2,2,6,0,0,1,7,8,6,1,2,3,1,9,11,3,9,1,1,5,5,9,9,1,3,2,2,5,1,1,3,0,4,2,1,5,0,1,3,1,1,1,2,3,9,6,0,9,1,1,6,1,2,9,9,10,9,0,10,9,9,9,9,9,10,10,4,9,1,9,4,2,2,4,3,4,3,4,0,5,1,3,8,3,0,0,0,0,0
Ai40,0,1,0,3,6,1,7,8,5,8,2,1,8,9,11,2,9,3,3,1,1,9,9,7,8,15,9,2,5,6,6,0,4,1,0,0,0,1,0,1,7,2,7,1,9,9,0,6,9,0,0,1,0,2,4,10,10,0,9,10,0,0,9,0,9,9,2,9,1,9,3,3,9,9,7,4,6,4,0,2,3,9,4,8,0,0,0,0,0
Cb26,1,0,0,3,6,1,7,7,5,8,2,1,8,9,11,2,9,3,1,1,1,9,9,10,1,8,1,5,6,6,7,8,3,4,4,0,5,5,2,1,7,2,7,1,1,3,1,1,0,1,0,1,1,2,2,3,9,3,9,0,9,0,9,9,9,9,5,4,2,9,3,2,1,2,4,1,4,1,3,2,2,9,4,8,0,0,0,0,0
Cc5,0,1,0,6,3,1,7,1,1,10,2,1,10,3,1,3,9,1,1,3,1,9,9,10,1,8,1,5,6,6,1,0,3,2,4,0,0,5,0,1,6,2,4,3,1,0,1,0,9,0,0,1,9,1,0,3,0,3,0,10,0,0,9,10,9,0,3,9,3,2,4,2,6,5,0,0,7,1,6,5,2,5,9,5,2,2,11,3,8
Ci2,0,1,1,3,5,1,7,2,2,7,1,1,8,9,11,6,1,4,4,1,1,9,9,8,7,15,9,0,5,6,7,0,2,1,0,0,0,0,0,3,7,2,7,1,1,0,0,0,0,0,0,1,1,2,5,3,0,0,0,0,0,0,9,9,9,9,1,9,1,9,1,1,9,9,7,1,7,1,0,5,3,1,7,9,0,0,0,0,0
Ci3,0,0,0,3,7,1,7,2,2,6,2,2,6,1,10,1,9,1,1,1,1,2,9,0,0,0,0,3,5,6,7,0,0,0,4,0,0,10,0,3,7,2,7,6,1,6,0,8,0,9,0,9,0,0,0,3,9,0,9,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,7,9,0,0,0,0,0
Ci5,0,0,0,4,6,1,7,7,2,8,2,1,8,9,11,3,9,3,1,1,1,9,9,10,1,15,9,2,5,6,7,8,4,4,4,8,0,10,1,3,7,2,7,1,1,6,9,9,9,1,9,9,9,1,1,3,9,10,10,10,3,10,10,10,9,9,5,2,1,9,1,1,6,5,7,1,4,1,2,5,2,1,8,0,0,0,0,0,0
